date,open,high,low,close,volume
2022-10-29,1554.87074892,1664.18845182,1548.25031613,1620.24818208,2184947.9876411753
2022-10-28,1514.23437948,1576.00826276,1480.16869305,1554.92580846,2241469.2927013934
2022-10-27,1566.47502974,1579.46239733,1503.40387875,1514.20332472,2631752.6712101707
2022-10-26,1460.21532381,1595.47004116,1457.82488657,1566.89837867,3428601.435821182
2022-10-25,1343.87471263,1525.72717201,1335.05494867,1460.21161362,3147278.017572031
2022-10-24,1364.40189925,1370.92076341,1324.06707025,1343.8161655,1458374.3539089155
2022-10-23,1314.05882501,1371.36176662,1299.39457688,1364.38474028,974225.1283825743
2022-10-22,1299.80341323,1320.1734825,1294.27128126,1313.88211317,490410.5171716761
2022-10-21,1282.58542109,1307.30659561,1253.10792743,1299.83720696,1210181.0785400725
2022-10-20,1285.14298507,1310.9469636,1270.41510341,1282.86753217,1151375.4652665216
2022-10-19,1310.75296674,1313.79628375,1280.30160555,1284.8889064,984479.6456463282
2022-10-18,1331.49888433,1341.93362121,1286.69282564,1310.85104868,1400747.110139848
2022-10-17,1305.87078166,1338.68863052,1295.45984047,1331.48247459,1132871.3269324403
2022-10-16,1274.98927982,1315.50698347,1274.60947061,1305.95207629,701524.7389096778
2022-10-15,1296.32032657,1301.87794632,1263.58242321,1274.94013974,665372.3496216015
2022-10-14,1286.99139793,1343.57492246,1283.33550493,1296.47804527,1812089.1436834075
2022-10-13,1294.2294151,1301.75712044,1189.68039482,1287.02529103,2590028.14089653
2022-10-12,1279.94613622,1306.81833281,1275.02383902,1294.32231436,956524.2074831029
2022-10-11,1289.96058523,1298.07368261,1266.84856074,1279.94569496,1280073.026794215
2022-10-10,1323.30772177,1338.2693437,1287.43442935,1290.03402526,1055235.981867051
2022-10-09,1315.53121612,1329.20152297,1307.2906738,1323.36656436,450608.3891468891
2022-10-08,1331.24617468,1337.57031767,1303.70846851,1315.57278826,460804.25755260553
2022-10-07,1352.21329977,1361.9589249,1317.40655496,1331.15941126,1255123.4196669196
2022-10-06,1352.45787789,1384.30091341,1345.00342715,1352.25081764,1677606.9532511071
2022-10-05,1361.87638321,1364.9406464,1316.29003958,1352.48204583,1265863.757742477
2022-10-04,1323.29769456,1370.11914005,1318.76014566,1361.83905312,1324045.2685265637
2022-10-03,1276.81573259,1330.11450335,1262.95909178,1323.2884094,1433849.4161278212
2022-10-02,1311.87058476,1317.7896913,1269.50845563,1276.84749006,936888.5016903826
2022-10-01,1328.6685747,1334.03454668,1302.76519235,1311.89380868,616232.6554054894
2022-09-30,1336.01384534,1373.36053879,1313.26160801,1328.73325105,2133827.191598571
2022-09-29,1337.16923663,1352.03616308,1288.34259799,1336.01781454,1942095.3726990467
2022-09-28,1327.95176781,1355.70880358,1253.18186436,1337.07772028,2604247.8727934402
2022-09-27,1336.7418791,1400.24605705,1303.65694483,1328.15809863,2237058.429318574
2022-09-26,1294.53101516,1340.78203745,1278.34799075,1336.69321057,2316239.3794629606
2022-09-25,1317.48149537,1337.19775557,1269.30699409,1294.52725355,1202287.5149111515
2022-09-24,1327.30976696,1349.26170341,1306.51891366,1317.15355108,1160077.6828016937
2022-09-23,1326.50448299,1359.6086248,1262.00429781,1327.042973,2624398.647077885
2022-09-22,1245.66501392,1349.73252435,1237.24348545,1326.43281987,2603155.187025363
2022-09-21,1322.93590401,1411.93763713,1219.85614941,1245.70758286,3272016.616664371
2022-09-20,1376.03441675,1385.04179854,1312.60937993,1322.90862847,1880035.9589541743
2022-09-19,1334.59262291,1393.03813592,1280.12488862,1376.10375313,2367852.5081071984
2022-09-18,1469.03610964,1469.90087485,1324.91845916,1334.59747246,1958529.647360059
2022-09-17,1433.86667344,1476.07852085,1409.09186275,1468.99246604,1031676.7002576899
2022-09-16,1472.60634457,1483.62855608,1405.51303912,1433.86102084,1989207.604085674
2022-09-15,1638.80978245,1654.95515285,1456.26618055,1472.58118257,3858907.9613171318
2022-09-14,1574.45654676,1648.66627157,1552.63525507,1638.73022683,1977206.7405087573
2022-09-13,1716.68775619,1761.95980882,1560.83122338,1574.58193154,2888294.9118130025
2022-09-12,1766.6606774,1783.61068204,1693.08322709,1716.83339009,1711650.0942075339
2022-09-11,1774.64866217,1789.75811562,1720.08755989,1766.74362124,903210.9481740952
